2025-09-23T20-02-38-059Z,"09/23/2025, 01:02:38 PM","Start Button Clicked @ 09/23/2025, 01:02:38 PM | Other Button Clicked @ 09/23/2025, 01:02:39 PM | Video3 Button Clicked @ 09/23/2025, 01:02:41 PM"
2025-09-23T21-29-32-648Z,"09/23/2025, 02:29:32 PM","Start Button Clicked @ 09/23/2025, 02:29:32 PM | Caddie Button Clicked @ 09/23/2025, 02:29:34 PM"
2025-09-23T21-30-05-456Z,"09/23/2025, 02:30:05 PM","Start Button Clicked @ 09/23/2025, 02:30:05 PM | Caddie Button Clicked @ 09/23/2025, 02:30:07 PM"
2025-09-23T21-31-31-376Z,"09/23/2025, 02:31:31 PM","Start Button Clicked @ 09/23/2025, 02:31:31 PM | Other Button Clicked @ 09/23/2025, 02:31:34 PM | Video4 Button Clicked @ 09/23/2025, 02:31:35 PM"
2025-09-23T21-42-31-370Z,"09/23/2025, 02:42:31 PM","Start Button Clicked @ 09/23/2025, 02:42:31 PM | Other Button Clicked @ 09/23/2025, 02:42:32 PM | Video4 Button Clicked @ 09/23/2025, 02:42:33 PM | Finish Button @ 09/23/2025, 02:43:49 PM | Finish Button @ 09/23/2025, 02:43:49 PM | Caddie Button Clicked @ 09/23/2025, 02:43:51 PM"
2025-09-23T21-50-56-427Z,"09/23/2025, 02:50:56 PM","Start Button @ 09/23/2025, 02:50:56 PM | Other Button @ 09/23/2025, 02:50:58 PM | Video3 Button @ 09/23/2025, 02:50:59 PM"
2025-09-23T21-52-37-177Z,"09/23/2025, 02:52:37 PM","Start Button @ 09/23/2025, 02:52:37 PM | Other Button @ 09/23/2025, 02:52:38 PM | Video1 Button @ 09/23/2025, 02:52:40 PM | Back to selectionOther @ 09/23/2025, 02:52:56 PM | Watch more Button @ 09/23/2025, 02:53:00 PM"
2025-09-23T21-54-39-666Z,"09/23/2025, 02:54:39 PM","Start Button @ 09/23/2025, 02:54:39 PM | Other Button @ 09/23/2025, 02:54:41 PM | Video3 Button @ 09/23/2025, 02:54:42 PM | Video 1 watched @ 09/23/2025, 02:54:57 PM | Watch more Button @ 09/23/2025, 02:55:22 PM | Caddie Button @ 09/23/2025, 02:55:23 PM | Other Button @ 09/23/2025, 02:55:50 PM | Video4 Button @ 09/23/2025, 02:55:56 PM | Video 4 watched @ 09/23/2025, 02:56:12 PM"
2025-09-23T22-04-30-875Z,"09/23/2025, 03:04:30 PM","Start Button @ 09/23/2025, 03:04:30 PM | Other Button @ 09/23/2025, 03:04:32 PM | Video3 Button @ 09/23/2025, 03:04:33 PM | Video 1 watched @ 09/23/2025, 03:04:49 PM"
2025-09-23T22-15-11-916Z,"09/23/2025, 03:15:11 PM","Start Button @ 09/23/2025, 03:15:11 PM | Other Button @ 09/23/2025, 03:15:16 PM"
2025-09-23T22-16-44-436Z,"09/23/2025, 03:16:44 PM","Start Button @ 09/23/2025, 03:16:44 PM | Caddie Button @ 09/23/2025, 03:16:46 PM | Caddie video watched @ 09/23/2025, 03:16:56 PM"
2025-09-23T22-18-33-351Z,"09/23/2025, 03:18:33 PM","Start Button @ 09/23/2025, 03:18:33 PM | Other Button @ 09/23/2025, 03:18:35 PM | Video1 Button @ 09/23/2025, 03:18:36 PM | Video 1 watched @ 09/23/2025, 03:18:46 PM"
2025-09-23T22-20-56-708Z,"09/23/2025, 03:20:56 PM","Start Button @ 09/23/2025, 03:20:56 PM | Other Button @ 09/23/2025, 03:20:57 PM | Video4 Button @ 09/23/2025, 03:20:59 PM | Video 4 watched @ 09/23/2025, 03:21:09 PM"
2025-09-23T22-22-05-434Z,"09/23/2025, 03:22:05 PM","Start Button @ 09/23/2025, 03:22:05 PM | Caddie Button @ 09/23/2025, 03:22:06 PM | Caddie video watched @ 09/23/2025, 03:22:17 PM | Other Button @ 09/23/2025, 03:22:33 PM"
2025-09-24T12-47-59-385Z,"09/24/2025, 05:47:59 AM","Start Button @ 09/24/2025, 05:47:59 AM | Caddie Button @ 09/24/2025, 05:48:01 AM | Caddie video watched @ 09/24/2025, 05:48:12 AM | Other Button @ 09/24/2025, 05:48:13 AM | Other Button @ 09/24/2025, 05:50:41 AM | Other Button @ 09/24/2025, 05:50:43 AM"
2025-09-24T12-55-10-845Z,"09/24/2025, 05:55:10 AM","Start Button @ 09/24/2025, 05:55:10 AM"
2025-09-24T13-03-40-796Z,"09/24/2025, 06:03:40 AM","Start Button @ 09/24/2025, 06:03:40 AM | Other Button @ 09/24/2025, 06:03:43 AM | Video4 Button @ 09/24/2025, 06:03:45 AM | Video 4 watched @ 09/24/2025, 06:03:55 AM"
2025-09-24T13-04-02-354Z,"09/24/2025, 06:04:02 AM","Start Button @ 09/24/2025, 06:04:02 AM | Other Button @ 09/24/2025, 06:04:03 AM | Video2 Button @ 09/24/2025, 06:04:05 AM | Video 2 watched @ 09/24/2025, 06:04:25 AM"
2025-09-24T13-05-03-155Z,"09/24/2025, 06:05:03 AM","Start Button @ 09/24/2025, 06:05:03 AM"
